C_HLEVEL,C_FULLNAME,C_NAME,C_SYNONYM_CD,C_VISUALATTRIBUTES,C_TOTALNUM,C_BASECODE,C_METADATAXML,C_FACTTABLECOLUMN,C_TABLENAME,C_COLUMNNAME,C_COLUMNDATATYPE,C_OPERATOR,C_DIMCODE,C_COMMENT,C_TOOLTIP,M_APPLIED_PATH,UPDATE_DATE,DOWNLOAD_DATE,IMPORT_DATE,SOURCESYSTEM_CD,VALUETYPE_CD,M_EXCLUSION_CD,C_PATH,C_SYMBOL
1,\SEDoH\,Social & Environmental Determinants of Health,N,FA ,0,"","",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\,"",Social & Environmental Determinants of Health,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\AQI\,Air Quality Indicators,N,FA ,0,"","",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\AQI\,"",Air Quality Indicators,@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\AQI\CES - Asthma ER Visits\,"Air Quality Indicator - Asthma ER Visits - CES, census tracts [visits per 10,000 persons]",N,LA ,,SEDoH:AsthmaERFreq,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:AsthmaERFreq</TestID><TestName>Air Quality - Asthma ER Visits - CES, census</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>asthma ER visits / 10,000 persons</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\AQI\CES - Asthma ER Visits\,"","Air Quality Indicator - Age-adjusted rate of ER visits for asthma per 10,000 persons. CalEnviroScreen values per census tract.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\AQI\CES - Ozone (O3)\,"Air Quality Indicator - Ozone (O3) - CES, census tracts [ppm]",N,LA ,,SEDoH:O3,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:O3</TestID><TestName>Air Quality Indicator - Ozone (O3)</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>ppm</NormalUnits><ConvertingUnits><Units>ppb</Units><MultiplyingFactor>0.001</MultiplyingFactor></ConvertingUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\AQI\CES - Ozone (O3)\,"","Air Quality Indicator - Ozone (O3) - CES, census tracts [ppm]. Ozone pollution causes numerous adverse health effects, including acute upper and lower respiratory symptoms, reduced lung function, and exacerbation of lung disease. CalEnviroScreen values modeled from 2011&ndash;2013 summer month maximum-value means. Values range from 0.03&ndash;0.07&nbsp;ppm. EPA&nbsp;standard: &quot;High&quot; is &gt;&nbsp;0.07&nbsp;ppm.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\AQI\CES - PM2.5\,"Air Quality Indicator - PM2.5 - CES, census tracts [mcg/cubic meter]",N,LA ,,SEDoH:PM2.5,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:PM2.5</TestID><TestName>Air Quality - PM2.5 - CES, census</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>micrograms / cubic meter</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\AQI\CES - PM2.5\,"","Air Quality Indicator - Fine Particulate Matter &le; 2.5 microns - CES, census tracts [micrograms / cubic meter]. PM2.5 includes extremely small particles and liquid droplets that when inhaled can penetrate deep into the lungs causing serious health problems. CalEnviroScreen values modeled from 2012&ndash;2014 averages of quarterly means. Values range from 1.65&ndash;19.6&nbsp;micrograms&nbsp;/&nbsp;cubic&nbsp;meter. EPA&nbsp;standard: &quot;High&quot; is &gt;&nbsp;12&nbsp;micrograms&nbsp;/&nbsp;cubic&nbsp;meter.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\AQI\SCEHSC - Nitrogen Dioxide (NO2)\,"Air Quality Indicator - Nitrogen Dioxide (NO2) - SCEHSC, 1 sq km grid [ppb]",N,LA ,,SEDoH:KeckNO2,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>09/09/2021 18:00:00</CreationDateTime><TestID>SEDoH:KeckNO2</TestID><TestName>Air Quality - Nitrogen Dioxide (NO2) - SCEHSC, 1 sq km grid</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>ppb</NormalUnits><ConvertingUnits><Units>ppm</Units><MultiplyingFactor>1000.0</MultiplyingFactor></ConvertingUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\AQI\SCEHSC - Nitrogen Dioxide (NO2)\,"","Air Quality Indicator - Nitrogen Dioxide (NO2) - SCEHSC, 1 sq km grid [ppb]: Estimated ambient air pollution, interpolated to grids from 4 closest measurement stations by SCEHSC/KSOM Preventive Medicine: Annual averages recorded (1998&ndash;2009). So.&nbsp;Cal. values range from 0.98&ndash;43.87&nbsp;ppb. EPA&nbsp;standard: &quot;High&quot; is &gt;&nbsp;53&nbsp;ppb.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\AQI\SCEHSC - Ozone (O3)\,"Air Quality Indicator - Ozone (O3) - SCEHSC, 1 sq km grid [ppb]",N,LA ,,SEDoH:KeckO3,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>09/09/2021 18:00:00</CreationDateTime><TestID>SEDoH:KeckO3</TestID><TestName>Air Quality - Ozone (O3) - SCEHSC, 1 sq km grid</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>ppb</NormalUnits><ConvertingUnits><Units>ppm</Units><MultiplyingFactor>1000.0</MultiplyingFactor></ConvertingUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\AQI\SCEHSC - Ozone (O3)\,"","Air Quality Indicator - Ozone (O3) - SCEHSC, 1 sq km grid [ppb]: Estimated ambient air pollution, interpolated to grids from 4 closest measurement stations by SCEHSC/KSOM Preventive Medicine: Annual averages available (1998&ndash;2009). So.&nbsp;Cal. values range from 17.72&ndash;69.51&nbsp;ppb. EPA&nbsp;standard: &quot;High&quot; is &gt;&nbsp;80&nbsp;ppb (1998&ndash;2007) or &gt;&nbsp;75&nbsp;ppb (2008&ndash;2009).",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\AQI\SCEHSC- PM10\,"Air Quality Indicator - PM10 - SCEHSC, 1 sq km grid [mcg/cubic meter]",N,LA ,,SEDoH:KeckPM10,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>09/09/2021 18:00:00</CreationDateTime><TestID>SEDoH:KeckPM10</TestID><TestName>Air Quality - PM10 - SCEHSC, 1 sq km grid</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>micrograms / cubic meter</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\AQI\SCEHSC- PM10\,"","Air Quality Indicator - Coarse Particulate Matter &le;&nbsp;10&nbsp;microns and &gt;&nbsp;2.5&nbsp;microns in diameter - SCEHSC, 1 sq km grid [micrograms / cubic meter]: Estimated ambient air pollution, interpolated to grids from 4 closest measurement stations by SCEHSC/KSOM Preventive Medicine: Annual averages available (1998&ndash;2009). So.&nbsp;Cal. values range from 8.26&ndash;145.16&nbsp;micrograms&nbsp;/&nbsp;cubic&nbsp;meter. EPA&nbsp;standard: &quot;High&quot; is &gt;&nbsp;50&nbsp;micrograms&nbsp;/&nbsp;cubic&nbsp;meter.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
3,\SEDoH\AQI\SCEHSC - PM2.5\,"Air Quality Indicator - PM2.5 - SCEHSC, 1 sq km grid [mcg/cubic meter]",N,LA ,,SEDoH:KeckPM2.5,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>09/09/2021 18:00:00</CreationDateTime><TestID>SEDoH:KeckPM2.5</TestID><TestName>Air Quality - PM2.5 - SCEHSC, 1 sq km grid</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>micrograms / cubic meter</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\AQI\SCEHSC - PM2.5\,"","Air Quality Indicator - Fine Particulate Matter &le;&nbsp;2.5&nbsp;microns in diameter - SCEHSC, 1 sq km grid [micrograms / cubic meter]: Estimated ambient air pollution, interpolated to grids from 4 closest measurement stations by SCEHSC/KSOM Preventive Medicine: Annual averages available (1998&ndash;2009). So.&nbsp;Cal. values range from 1.17&ndash;30.87&nbsp;micrograms&nbsp;/&nbsp;cubic&nbsp;meter. EPA&nbsp;standard: &quot;High&quot; is &gt;&nbsp;15&nbsp;micrograms&nbsp;/&nbsp;cubic&nbsp;meter.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
2,\SEDoH\Esri Bsnss Anlst - Alcohol Access\," Alcohol Access [liquor stores per 100,000 persons]",N,LA ,,SEDoH:LiqStrDen,"<?xml version=""1.0""?><ValueMetadata><Version>3.02</Version><CreationDateTime>06/06/2021 18:00:00</CreationDateTime><TestID>SEDoH:LiqStrDen</TestID><TestName>Alcohol Access</TestName><DataType>Float</DataType><Loinc>99999-9</Loinc><Flagstouse></Flagstouse><Oktousevalues>Y</Oktousevalues><MaxStringLength>255</MaxStringLength><EnumValues></EnumValues><UnitValues><NormalUnits>liquor stores / 100,000 persons</NormalUnits></UnitValues></ValueMetadata>",concept_cd,concept_dimension,concept_path,T,LIKE,\SEDoH\Esri Bsnss Anlst - Alcohol Access\,"","Number of liquor stores per 100,000 population. Values from Esri Business Analyst.",@,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,2021-09-20 18:00:00.000,USC.SCCTSI PAngyanMAbajian 2021-09-20,"","","",""
